"file","genome","n_ribosomal_proteins","total_ribosomal_gene_len","n_reads_mapped","Filename","ReadCount","dataset","normalized_reads_per_kB_per_M"
"SRR5190281_1","Megasphaera_hexanoica_MH",42,17547,248,"SRR5190281_1.fastq",22429806,"Calf",0.630120033532636
"SRR5190281_1","malmuthuge.128",41,18225,997,"SRR5190281_1.fastq",22429806,"Calf",2.43894554619938
"SRR5190281_1","malmuthuge.164",43,18489,57,"SRR5190281_1.fastq",22429806,"Calf",0.137447205971344
"SRR5190281_1","malmuthuge.34",41,17973,151,"SRR5190281_1.fastq",22429806,"Calf",0.374568158350422
"SRR5190281_1","10677_0023_idba_bin.239",41,18483,89,"SRR5190281_1.fastq",22429806,"Calf",0.2146802171148
"SRR5190281_1","malmuthuge.158",35,15363,98,"SRR5190281_1.fastq",22429806,"Calf",0.284396683690948
"SRR5190281_1","10675_0017_idba_bin.63",18,10164,6,"SRR5190281_1.fastq",22429806,"Calf",0.0263184965637667
"SRR5190281_1","10677_min2k_bin.3664",29,11922,4,"SRR5190281_1.fastq",22429806,"Calf",0.014958407374273
"SRR5190281_1","10674_min2k_bin.1792",42,18066,9,"SRR5190281_1.fastq",22429806,"Calf",0.0222103287175461
"SRR5190281_1","10677_0023_idba_bin.13",41,18111,2,"SRR5190281_1.fastq",22429806,"Calf",0.00492336515697872
"SRR5190281_1","10676_min2k_bin.3406",41,18084,2,"SRR5190281_1.fastq",22429806,"Calf",0.00493071590124097
"SRR5190281_1","10678_0051_idba_bin.51",43,20247,2,"SRR5190281_1.fastq",22429806,"Calf",0.0044039643580798
"SRR5190281_1","10676_min2k_bin.2753",42,18609,3,"SRR5190281_1.fastq",22429806,"Calf",0.00718741466693871
"SRR5190281_1","10678_min2k_bin.2957",37,16101,5,"SRR5190281_1.fastq",22429806,"Calf",0.0138449578221914
"SRR5190281_1","10677_min2k_bin.4359",27,11229,1,"SRR5190281_1.fastq",22429806,"Calf",0.00397039212565863
"ERR3201418_1","10678_0051_idba_bin.51",43,20247,1006,"ERR3201418_1.fastq",97737394,"Adult",0.508366053732414
"ERR3201418_1","10677_0019_idba_bin.218",40,17688,1895,"ERR3201418_1.fastq",97737394,"Adult",1.09614934732395
"ERR3201418_1","10676_0049_idba_bin.70",39,19470,1807,"ERR3201418_1.fastq",97737394,"Adult",0.949579752827961
"ERR3201418_1","10677_0034_idba_bin.198",42,18354,265,"ERR3201418_1.fastq",97737394,"Adult",0.147725133606601
"ERR3201418_1","10674_0009_idba_bin.117",37,20709,895,"ERR3201418_1.fastq",97737394,"Adult",0.44218413040414
"ERR3201418_1","10675_0017_idba_bin.63",18,10164,80,"ERR3201418_1.fastq",97737394,"Adult",0.0805312750800994
"ERR3201418_1","10678_min2k_bin.2957",37,16101,85,"ERR3201418_1.fastq",97737394,"Adult",0.0540138732009666
"ERR3201418_1","Pseudoramibacter_alactolyticus_ATCC23263",44,18396,4,"ERR3201418_1.fastq",97737394,"Adult",0.0022247224394274
"ERR3201418_1","malmuthuge.79",28,12450,20,"ERR3201418_1.fastq",97737394,"Adult",0.0164361421669504
"ERR3201418_1","10676_min2k_bin.2753",42,18609,25,"ERR3201418_1.fastq",97737394,"Adult",0.0137453631293012
"ERR3201418_1","10674_min2k_bin.1792",42,18066,20,"ERR3201418_1.fastq",97737394,"Adult",0.0113268000652348
"ERR3201418_1","10676_min2k_bin.3406",41,18084,18,"ERR3201418_1.fastq",97737394,"Adult",0.0101839732902388
"ERR3201418_1","Megasphaera_hexanoica_MH",42,17547,12,"ERR3201418_1.fastq",97737394,"Adult",0.00699709249370944
"ERR3201418_1","10677_0023_idba_bin.13",41,18111,12,"ERR3201418_1.fastq",97737394,"Adult",0.00677919396980396
"ERR3201418_1","Megasphaera_elsdenii_2410",31,13602,5,"ERR3201418_1.fastq",97737394,"Adult",0.00376102723824681
"ERR3201418_1","Ruminococcaceae_CPB6",41,18129,8,"ERR3201418_1.fastq",97737394,"Adult",0.00451497534289884
"ERR3201418_1","malmuthuge.164",43,18489,24,"ERR3201418_1.fastq",97737394,"Adult",0.0132811922750954
"ERR3201418_1","10677_min2k_bin.3664",29,11922,2,"ERR3201418_1.fastq",97737394,"Adult",0.00171640639136498
"ERR3201418_1","malmuthuge.34",41,17973,13,"ERR3201418_1.fastq",97737394,"Adult",0.00740051635709376
"ERR3201418_1","10678_0024_idba_bin.135",41,17709,28,"ERR3201418_1.fastq",97737394,"Adult",0.016177195661525
